date,gate_on,past_n,past_brier_adv,candidate_n,settled
2026-08-01,True,50,0.0011826074722739444,,False
2026-08-02,True,50,0.0011826074722739444,,False
2026-08-03,True,50,0.0011826074722739444,,False
2026-08-04,True,50,0.0011826074722739444,,False
2026-08-05,True,50,0.0011826074722739444,,False
2026-08-06,True,50,0.0011826074722739444,,False
2026-08-07,True,50,0.0011826074722739444,,False
2026-08-08,True,50,0.0011826074722739444,,False
2026-08-09,True,50,0.0011826074722739444,,False
2026-08-10,True,50,0.0011826074722739444,,False
